Company_Name,HeadQuarter,Sector,Amount($),Stage,Year,Investor
Shape (School Health and Physical Education),"Pune, Maharashtra, India",Education,200000.0,Seed,2018,
Placio,"Noida, Uttar Pradesh, India","Hospitality, Real Estate",2000000.0,Seed,2018,
Aviom India Housing Finance,"New Delhi, Delhi, India",Finance,2100000.0,Series A,2018,
HeyHolidays,"Bangalore, Karnataka, India","Tourism, Travel",1000000.0,Seed,2018,
Pratilipi,"Bengaluru, Karnataka, India","Digital Media, EBooks, Publishing, Reading Apps",4300000.0,Series A,2018,
Silversparro Technologies Pvt. Ltd,"Gurgaon, Haryana, India","Analytics, Computer Vision, Enterprise Software, Machine Learning, Natural Language Processing, Speech Recognition",300000.0,Seed,2018,
Emflux Motors,"Bengaluru, Karnataka, India","Automotive, Electric Vehicle, Energy",364846.0,Seed,2018,
Tricog Health Services Pvt Ltd,"Bangalore, Karnataka, India","Health Care, Health Diagnostics, Predictive Analytics",4000000.0,Series A,2018,
Scapic,"Bangalore, Karnataka, India","Cloud Computing, Computer, SaaS, Software",500000.0,Seed,2018,
6Degree,"Mumbai, Maharashtra, India","Fashion, Lifestyle, Retail",400000.0,Seed,2018,
Ekincare,"Hyderabad, Andhra Pradesh, India",Medical,1500000.0,Series A,2018,
Groww,"Kormangala, Karnataka, India","Finance, Impact Investing, Internet",120000.0,Seed,2018,
Cell Propulsion,"Bangalore, Karnataka, India",—,98000.0,Seed,2018,
Chezuba,"Hyderabad, Andhra Pradesh, India","Internet, Social Entrepreneurship",19600.0,Angel,2018,
Wealthtrust,"Mumbai, Maharashtra, India","Finance, Impact Investing, Mobile Apps",500000.0,Seed,2018,
Awign Enterprises,"Bangalore, Karnataka, India","Business Development, Market Research, Outsourcing",700000.0,Seed,2018,
Hubhopper,"Delhi, Delhi, India","Internet, Social News, Sports",500000.0,Series A,2018,
Rubix108 Technologies,"Pune, Maharashtra, India",Information Technology,1000000.0,Seed,2018,
Workflexi,"Bangalore, Karnataka, India",Human Resources,140000.0,Seed,2018,
Streak,"Bangalore, Karnataka, India",Financial Services,315000.0,Seed,2018,
Kuants,"Gurgaon, Haryana, India",Financial Services,70000.0,Seed,2018,
NiYO Solutions,"Bangalore, Karnataka, India","Finance, Financial Services, FinTech",184800.0,Series A,2018,
Simulanis,"New Delhi, Delhi, India",Training,500000.0,Seed,2018,
MY CHIRAAG CAB,"Jaipur, Rajasthan, India",Travel,1000000.0,Seed,2018,
Flathalt,"Gurgaon, Haryana, India",—,50000.0,Angel,2018,
True Elements,"Pune, Maharashtra, India","Dietary Supplements, Food and Beverage, Health Care, Organic Food, Snack Food",700000.0,Seed,2018,
Trendlyne Technologies,"Bangalore, Karnataka, India",Financial Services,200000.0,Seed,2018,
Planys Technologies,"Chennai, Tamil Nadu, India","Manufacturing, Oil and Gas, Robotics",1962800.0,Series A,2018,
HealthPlix,"Bangalore, Karnataka, India","Fitness, Health Care, Wellness",3000000.0,Series A,2018,
dishq,"Bengaluru, Karnataka, India",—,400000.0,Seed,2018,
Entropik Technology,"Bengaluru, Karnataka, India","Artificial Intelligence, Computer, Machine Learning",1100000.0,Seed,2018,
myHQ,"Delhi, Delhi, India","Collaboration, Communities, Coworking, Sharing Economy",500000.0,Series A,2018,
Trell,"Bangalore City, Karnataka, India",—,1250000.0,Seed,2018,
Kidovators (by GyanLab),"Bangalore, Karnataka, India","Big Data, EdTech, Machine Learning",180000.0,Seed,2018,
Log 9 Materials,"Uttar Pradesh, India, Asia",Nanotechnology,420000.0,Seed,2018,
VTION,"Gurgaon, Haryana, India","Analytics, Audio, Digital Media, Innovation Management, Internet Radio, Media and Entertainment",268800.0,Seed,2018,
HousingMan.com,"Bengaluru, Karnataka, India",—,1442000.0,Seed,2018,
